,Company_Names,World_Ranks(Jan-2020),Market_Cap(In_Billion_USD),Headquarter_of_Company,Annual_Revenue_till,Annual_revenue,Annual_Net_Income_till,Annual_Net_income,Sector,Total_Employees,Employee_Count_as_on_Date,CEO,Annual_Revenue,Annual_Net_Income,Annual_Revenue(mbtc),Annual_Net_Income(mbtc)
100,VOLKSWAGEN,99,111.3,Germany,2019,252.63 Billion EUR,2019,13.89 Billion EUR,"Consumer Cyclical, Automobile, Cars, Commercial Vehicles, Sports Vehicles, Passenger Vehicles",662575,2021,Herbert Diess,252.63,13.89,Billion EUR,Billion EUR
101,INDITEX (INDUSTRIA DE DISENO TEXTIL),100,110.96,Spain,2020,28.28 Billion EUR,2020,3.64 Billion EUR,"Consumer Cyclical, Retail, Readymade Clothing",144116,2021,Pablo Isla,28.28,3.64,Billion EUR,Billion EUR
102,SIEMENS,101,108.76,Germany,2019,86.85 Billion EUR,2019,5.17 Billion EUR,"Industries, Infrastructure, Technology Hardware and Instruments, Software and IT, Railway Vehicles and Railway Components, Engineering Products, Medical Equipment, Software Products, Security Systems and Solutions, Artificial Intelligence, Machinery Manufacturing, Conglomerate, Railway, Technology, Electric Vehicle Charging Station",303000,2021,Roland Buschs,86.85,5.17,Billion EUR,Billion EUR
103,DANAHER CORPORATION,102,108.45,USA,2020,22.28 Billion USD,2020,3.51 Billion USD,"Healthcare, Medical Equipment, HealthCare Products, Machinery Manufacturing, Capital Goods, Technology, Manufacturing, Health Care Diagnostics",78000,2021,Rainer M. Blair,22.28,3.51,Billion USD,Billion USD
104,STARBUCKS CORPORATION,103,107.01,USA,2020,23.51 Billion USD,2020,928 Million USD,"Consumer Cyclical, Restaurants, Retail, Non-Alcoholic Beverages, Coffee, Beverages, Consumer Services",383000,2021,Howard Schultz,23.51,928.0,Billion USD,Million USD
105,SCHWARZ GROUP,103,107.01,Germany,2019,104.3 Billion EUR,2019,928 Million USD,"Retail, Super Markets, Hypermarkets",500000,2021,Bob van Dijk,104.3,928.0,Billion EUR,Million USD
106,ALLIANZ SE,104,105.92,Germany,2019,112.99 Billion EUR,2019,7.91 Billion EUR,"Financial Services, Insurance, Asset Management",150269,2020,Oliver Bate,112.99,7.91,Billion EUR,Billion EUR
107,CHARTER COMMUNICATIONS,105,105.34,USA,2020,48.09 Billion USD,2020,3.22 Billion USD,"Communication Services, Telecom, Internet Providers, Fixed Line Service, Television Services, Consumer Services, Media, Advertising, Entertainment",93700,2021,Thomas M. Rutledge,48.09,3.22,Billion USD,Billion USD
108,PETROLEO BRASILEIRO - PETROBRAS,106,104.1,Brazil,2019,302.25 Billion BRL,2019,30.01 Billion BRL,"Energy, Oil and Gas, Electricity Generation, Petrochemicals, Fertilizers, Lubricants, Natural Gas Generation, Chemicals",49050,2021,Roberto Castello Branco,302.25,30.01,Billion BRL,Billion BRL
109,DIAGEO,107,103.62,UK,2020,11752 Million GBP,2020,1454 Million GBP,"Consumer Defensive, Beverages, Alcoholic Beverages, FMCG, Consumer Non Durables",28025,2021,Ivan Menezes,11752.0,1454.0,Million GBP,Million GBP
110,AMERICAN EXPRESS COMPANY,108,103.42,USA,2019,30.89 Billion USD,2019,6.75 Billion USD,"Financial Services, Banking Services, Credit Cards, Technology, Digital Payment Solution Services",64000,2021,Stephen Squeri,30.89,6.75,Billion USD,Billion USD
111,GENERAL ELECTRIC COMPANY,109,103.41,USA,2019,95.21 Billion USD,2019,-4.97 Billion USD,"Industries, Aircraft Parts, Aerospace Products, HealthCare Products, Aerospace and Defense, Electrical Products, Software and IT, Software Products, Technology Hardware and Instruments, Energy, Electronics, Engineering Products, Lighting Products, Technology, Space Products",168000,2021,H. Lawrence Culp Jr,95.21,4.97,Billion USD,Billion USD
112,3M COMPANY,110,102.93,USA,2019,32.14 Billion USD,2019,4.57 Billion USD,"Industries, Medical Equipment, Electronics, HealthCare Products, Chemicals, Engineering Products, Adhesives, Consumer Goods, Conglomerate, Industry Machinery",95000,2021,Mike Roman,32.14,4.57,Billion USD,Billion USD
113,QUALCOMM,111,102.71,USA,2020,23.53 Billion USD,2020,5.19 Billion USD,"Technology, Semiconductors, Electronics, Technology Hardware and Instruments, Telecom Equipment, Processors / Chips, Connectivity Technology, Artificial Intelligence, Internet of Things, Software Products, Software and IT",45000,2021,Cristiano R. Aman,23.53,5.19,Billion USD,Billion USD
114,AMERICAN TOWER CORPORATION (REIT),112,102.34,USA,2019,7.58 Billion USD,2019,1.88 Billion USD,"Real Estate, Cell Towers Infrastructure, Infrastructure, Consumer Services, Property Investments",5618,2021,Tom Bartlett,7.58,1.88,Billion USD,Billion USD
115,THE GOLDMAN SACHS GROUP,113,101.98,USA,2019,294 Million USD,2019,466 Million USD,"Financial Services, Banking Services, Asset Management, Investments, Brokerage Services, Securities, Stock Markets, Trading, Capital Markets",40900,2020,David M. Solomon,294.0,466.0,Million USD,Million USD
116,YOUTUBE,113,101.98,USA,2019,294 Million USD,2019,466 Million USD,"Social Media, Internet or Mobile App Based Business, Technology, Artificial Intelligence",58250,2021,Susan Wojcicki,294.0,466.0,Million USD,Million USD
117,TORONTO-DOMINION BANK,114,101.86,Canada,2020,646 Million CAD,2020,895 Million CAD,"Financial Services, Banking Services, Insurance",89464,2021,Bharat Masrani,646.0,895.0,Million CAD,Million CAD
118,UNITED PARCEL SERVICE (UPS),115,101.56,USA,2020,628 Million USD,2020,427 Million USD,"Industries, Courier, Logistics, Transportation, Freight Transport",534000,2021,Carol B. Tome,628.0,427.0,Million USD,Million USD
119,BRITISH AMERICAN TOBACCO,116,100.58,UK,2019,25.87 Billion GBP,2019,5.70 Billion GBP,"Consumer Defensive, Tobacco Products, Cigarettes, FMCG, Agriculture Products, Consumer Non Durables, Tobacco and Cigarette",55000,2021,Jack Bowles,25.87,5.7,Billion GBP,Billion GBP
120,SONY CORPORATION,117,100.03,Japan,2020,259.8 Billion JPY,2020,582.2 Billion JPY,"Technology, Electronics, Mobiles, Gaming, Video Games / Mobile Games / Tech Games / Casino Games, Cameras & Accessories, Technology Hardware and Instruments, TV's, Consumer Electronics, Mobiles & Accessories",109700,2021,Kenichiro Yoshida,259.8,582.2,Billion JPY,Billion JPY
121,MARS INC,117,100.03,USA,2019,38 Billion USD,2019,582.2 Billion JPY,"Food Products, Animal Feed, Chocolate & Confectionery, Beverages",125000,2020,Bob van Dijk,38.0,582.2,Billion USD,Billion JPY
122,COMMONWEALTH BANK OF AUSTRALIA,118,99.26,Australia,2020,869 Million AUD,2020,634 Million AUD,"Financial Services, Banking Services",43585,2020,Matt Comyn,869.0,634.0,Million AUD,Million AUD
123,CVS HEALTH CORPORATION,119,98.69,USA,2019,776 Million USD,2019,634 Million USD,"Healthcare, Pharmacy, Healthcare Service, Retail, HealthCare Products, Insurance",295000,2021,Karen S. Lynch,776.0,634.0,Million USD,Million USD
124,HDFC BANK,120,98.69,India,2020,1470.68 Billion INR,2020,272.9 Billion INR,"Financial Services, Banking Services",120093,2021,Sashidhar Jagdishan,1470.68,272.9,Billion INR,Billion INR
125,NIPPON TELEGRAPH AND TELEPHONE CORPORATION,121,94.78,Japan,2019,879.8 Billion JPY,2019,854.5 Billion JPY,"Communication Services, Telecom, Mobile Services, Fixed Line Service, Internet Providers, Television Services",303350,2021,Jun Sawada,879.8,854.5,Billion JPY,Billion JPY
126,REYES HOLDINGS,121,94.78,USA,2018,27.8 Billion USD,2019,854.5 Billion JPY,"Food and Beverage, Alcoholic Beverages, Beer, Non-Alcoholic Beverages",29000,2020,Bob van Dijk,27.8,854.5,Billion USD,Billion JPY
127,U.S. BANCORP,122,93.97,USA,2019,883 Million USD,2019,914 Million USD,"Financial Services, Banking Services",68108,2020,Andrew Cecere,883.0,914.0,Million USD,Million USD
128,GAZPROM,123,93.96,Russia,2019,659.6 Billion RUB,2019,202.9 Billion RUB,"Energy, Oil and Gas, Natural Gas Generation, Petrochemicals, Oil and Gas Pipeline Transport, Chemicals",473800,2021,Alexey Miller,659.6,202.9,Billion RUB,Billion RUB
129,LOWE'S COMPANIES,124,93.56,USA,2021,89.59 Billion USD,2021,5.83 Billion USD,"Consumer Cyclical, Retail, Home Furnishing, Home & Furniture, Consumer Services",220000,2021,Marvin Ellison,89.59,5.83,Billion USD,Billion USD
130,SOFTBANK GROUP,125,93.51,Japan,2020,185.1 Billion JPY,2020,-961 Billion JPY,"Communication Services, Investments, Telecom, Internet Providers, Fixed Line Service, Semiconductors, eCommerce, Internet of Things, Internet or Mobile App Based Business, Artificial Intelligence, Automation, Robotics, Technology, Conglomerate",58786,2021,Masayoshi Son,185.1,961.0,Billion JPY,Billion JPY
131,CHRISTIAN DIOR,126,93.28,France,2019,670 Million EUR,2019,938 Million EUR,"Consumer Cyclical, Retail, Luxury Goods, Fashion and Luxury Goods, Watches, Beauty and Personal Care, Leather Products, Jewellery, FMCG, Consumer Non Durables, Consumer Goods",128339,2020,Pietro Beccari,670.0,938.0,Million EUR,Million EUR
132,ALTRIA GROUP,127,92.43,USA,2019,796 Million USD,2019,293 Million USD,"Consumer Defensive, Tobacco Products, Cigarettes, Beverages, Alcoholic Beverages, FMCG, Agriculture Products, Consumer Non Durables, Tobacco and Cigarette",7300,2020,Howard Willard,796.0,293.0,Million USD,Million USD
133,NTT DOCOMO,128,91.41,Japan,2019,725.2 Billion JPY,2019,629 Billion JPY,"Communication Services, Telecom, Mobile Services",27558,2020,Motoyuki Ii,725.2,629.0,Billion JPY,Billion JPY
134,SBERBANK OF RUSSIA,129,90.33,Russia,2019,305.5 Billion RUB,2019,844.9 Billion RUB,"Financial Services, Banking Services, Asset Management, Wealth Management, Securities, Credit Cards, Insurance",285555,2021,Herman Gref,305.5,844.9,Billion RUB,Billion RUB
135,CHINA PETROLEUM & CHEMICAL CORPORATION (SINOPEC),130,88.38,China,2019,966.1 Billion CNY,2019,57.4 Billion CNY,"Energy, Oil and Gas, Chemicals, Petrochemicals, Fertilizers, Natural Gas Generation, Lubricants",384065,2020,Bob van Dijk,966.1,57.4,Billion CNY,Billion CNY
136,CSL,131,87.47,Australia,2020,260 Million USD,2020,063 Million USD,"Healthcare, Pharmaceutical, Biotechnology, HealthCare Products, Technology",25000,2021,Paul Perreault,260.0,63.0,Million USD,Million USD
137,STATE FARM,131,87.47,USA,2018,81.73 Billion USD,2018,8.78 Billion USD,"Insurance, Financial Services",59000,2020,Bob van Dijk,81.73,8.78,Billion USD,Billion USD
138,BOOKING HOLDINGS,132,87.41,USA,2019,066 Million USD,2019,865 Million USD,"Consumer Cyclical, Internet or Mobile App Based Business, Travel and Transport, eCommerce, Business Services",19400,2021,Glenn D. Fogel,66.0,865.0,Million USD,Million USD
139,FIDELITY NATIONAL INFORMATION SERVICES,133,86.29,USA,2019,333 Million USD,2019,298 Million USD,"Technology, Software Products, Financial Services, Business Services, Software and IT",62000,2020,Gary A. Norcross,333.0,298.0,Million USD,Million USD
140,KEYENCE CORPORATION,134,85.88,Japan,2020,551.8 Billion JPY,2020,198.1 Billion JPY,"Technology, Sensors, Machinery Manufacturing, Technology Hardware and Instruments, Electronics, Manufacturing",8380,2021,Yu Nakata,551.8,198.1,Billion JPY,Billion JPY
141,ITAU UNIBANCO HOLDING,136,85.66,Brazil,2019,147 Million BRL,2019,113 Million BRL,"Financial Services, Banking Services",96500,2021,Milton Maluhy Filho,147.0,113.0,Million BRL,Million BRL
142,KERING,137,84.01,France,2019,883 Million EUR,2019,308 Million EUR,"Consumer Cyclical, Luxury Goods, Leather Products, Clothing, Eyewear, Watches, Shoes, Footwear, eCommerce, Retail, Convenience Stores, FMCG, Consumer Goods, Fashion and Luxury Goods",38553,2021,Francois-Henri Pinault,883.0,308.0,Million EUR,Million EUR
143,MORGAN STANLEY,138,83.87,USA,2020,45.26 Billion USD,2020,10.5 Billion USD,"Financial Services, Banking Services, Trading, Brokerage Services, Wealth Management, Investments, Asset Management, Stock Markets, Trading, Capital Markets",68097,2021,James P. Gorman,45.26,10.5,Billion USD,Billion USD
144,CATERPILLAR,139,82.9,USA,2019,800 Million USD,2019,093 Million USD,"Industries, Agriculture Machinery, Machinery Manufacturing, Construction Equipment, Commercial Vehicles, Heavy Vehicles, Mining Equipment, Engines Manufacturing, Engineering Products, Capital Goods, Construction Materials, Mining, Manufacturing, Heavy Machinery",107700,2021,Jim Umpleby,800.0,93.0,Million USD,Million USD
145,INGRAM MICRO,139,82.9,USA,2019,47.2 Billion USD,2019,500.1 Million USD,"Logistics, Technology",35000,2020,Bob van Dijk,47.2,500.1,Billion USD,Million USD
146,GILEAD SCIENCES,140,82.71,USA,2019,449 Million USD,2019,386 Million USD,"Healthcare, Biotechnology, Biopharmaceutical, Pharmaceutical, HealthCare Products, Technology",14400,2021,Daniel O'Day,449.0,386.0,Million USD,Million USD
147,ENEL,141,82.06,Italy,2019,521 Million EUR,2019,174 Million EUR,"Utilities, Electric Utilities, Gas Utilities, Electricity Generation, Power Generation, Energy",66438,2021,Francesco Starace,521.0,174.0,Million EUR,Million EUR
148,ENBRIDGE,142,80.85,Canada,2019,50.07 Billion CAD,2019,5.70 Billion CAD,"Energy, Oil and Gas, Natural Gas Generation, Gas Utilities, Utilities, Renewable Energy, Electricity Generation, Solar Power, Wind Power, Hydro-Electric Power, Power Generation",11200,2020,Al Monaco,50.07,5.7,Billion CAD,Billion CAD
149,MONDELEZ INTERNATIONAL,143,80.52,USA,2019,868 Million USD,2019,870 Million USD,"Consumer Defensive, Food Products, Beverages, Non-Alcoholic Beverages, Dairy Products, Chocolate & Confectionery, FMCG, Consumer Non Durables, Food and Beverage",79000,2021,Dirk Van de Put,868.0,870.0,Million USD,Million USD
150,TESLA,144,80.03,USA,2020,536 Million USD,2020,-690 Million USD,"Electric Vehicles, Cars, Automobile, Solar Power Devices, Capital Goods, Power Equipment, Technology, Passenger Vehicles, Batteries, Electric Vehicle Charging Station",99290,2021,Elon Musk,536.0,690.0,Million USD,Million USD
151,BLACKROCK,145,79.27,USA,2019,539 Million USD,2019,476 Million USD,"Financial Services, Asset Management, Investments",16500,2021,Larry Fink,539.0,476.0,Million USD,Million USD
152,KOCH INDUSTRIES,145,79.27,USA,2019,110 Billion USD,2019,476 Million USD,"Energy, Oil and Gas, Metals, Mining, Chemicals, Fertilizers, Paper and Pulp, Plastics / Plastic Products, Commodities Trading",122000,2021,Bob van Dijk,110.0,476.0,Billion USD,Million USD
153,BYTEDANCE,145,79.27,China,2019,17 Billion USD,2019,3 Billion USD,"Technology, Social Media, Internet or Mobile App Based Business",60000,2020,Bob van Dijk,17.0,3.0,Billion USD,Billion USD
154,FISERV,146,79.16,USA,2019,187 Million USD,2019,893 Million USD,"Financial Services, Software and IT, Digital Payment Solution Services, Technology, Software Products",44000,2020,Frank Bisignano,187.0,893.0,Million USD,Million USD
155,STRYKER CORPORATION,147,78.9,USA,2019,884 Million USD,2019,083 Million USD,"Healthcare, Medical Equipment, HealthCare Products",43000,2021,Kevin A. Lobo,884.0,83.0,Million USD,Million USD
156,MEITUAN DIANPING,148,78.82,China,2019,97.52 Billion EUR,2019,2.24 Billion EUR,"Consumer Cyclical, Internet or Mobile App Based Business, Software and IT, Retail, eCommerce",58390,2021,Wang Xing,97.52,2.24,Billion EUR,Billion EUR
157,HERMES INTERNATIONAL,149,78.34,France,2019,883 Million EUR,2019,528.2 Million EUR,"Consumer Cyclical, Luxury Goods, Retail, Fashion and Luxury Goods, Beauty and Personal Care, Home & Furniture, Home Furnishing, Shoes, Jewellery, Watches, Leather Products, FMCG, Consumer Goods",15417,2019,Axel Dumas,883.0,528.2,Million EUR,Million EUR
158,DEUTSCHE TELEKOM AG,150,78.32,Germany,2020,721 Million EUR,2020,158 Million EUR,"Communication Services, Telecom, Mobile Services, Fixed Line Service, Internet Providers, Television Services",226291,2021,Timotheus Hottges,721.0,158.0,Million EUR,Million EUR
159,BAYER,151,78.09,Germany,2019,545 Million EUR,2019,091 Million EUR,"Healthcare, Pharmaceutical, Chemicals, HealthCare Products",99538,2021,Werner Baumann,545.0,91.0,Million EUR,Million EUR
160,ROSNEFT OIL COMPANY,152,78.0,Russia,2019,783 Billion RUB,2019,708 Billion RUB,"Energy, Oil and Gas, Petroleum, Petrochemicals, Natural Gas Generation, Oil Refining, Chemicals",315000,2019,Igor Sechin,783.0,708.0,Billion RUB,Billion RUB
161,CIGNA CORPORATION,153,77.76,USA,2019,743 Million USD,2019,104 Million USD,"Healthcare, Insurance, Healthcare Service, HealthCare Products",73800,2021,David Cordani,743.0,104.0,Million USD,Million USD
162,ANTHEM,154,77.55,USA,2019,213 Million USD,2019,807 Million USD,"Healthcare, Insurance, Financial Services, HealthCare Products",63900,2021,Gail Koziara Boudreaux,213.0,807.0,Million USD,Million USD
163,TRUIST FINANCIAL CORPORATION,155,75.81,USA,2019,445 Million USD,2019,224 Million USD,"Financial Services, Banking Services, Insurance, Mortgage",54982,2020,Kelly S. King,445.0,224.0,Million USD,Million USD
164,CNOOC LIMITED,156,75.77,China,2019,237.6 Billion CNY,2019,61 Billion CNY,"Energy, Oil and Gas, Natural Gas Generation",18703,2019,Yang Hua,237.6,61.0,Billion CNY,Billion CNY
165,SAUDI BASIC INDUSTRIES CORPORATION (SABIC),157,75.65,Saudi Arabia,2019,139.7 Billion SAR,2019,5.56 Billion SAR,"Basic Materials, Chemicals, Petrochemicals, Fertilizers",32721,2019,Yousef Al-Benyan,139.7,5.56,Billion SAR,Billion SAR
166,AMBEV,158,75.51,Brazil,2019,52.59 Billion BRL,2019,11.78 Billion BRL,"Consumer Defensive, Beverages, Alcoholic Beverages, Non-Alcoholic Beverages, Beer, FMCG, Consumer Non Durables",50479,2020,Jean Jereissati,52.59,11.78,Billion BRL,Billion BRL
167,NASPERS,159,75.05,South Africa,2019,45.26 Billion ZAR,2019,58.01 Billion ZAR,"Communication Services, Internet or Mobile App Based Business, eCommerce, Gaming, Media, Advertising",28445,2021,Bob van Dijk,45.26,58.01,Billion ZAR,Billion ZAR
168,BNP PARIBAS,160,74.76,France,2019,55 Billion EUR,2019,7.74 Billion EUR,"Financial Services, Banking Services, Asset Management, Wealth Management, Mortgage",190000,2022,Jean-Laurent Bonnafe,55.0,7.74,Billion EUR,Billion EUR
169,ESTEE LAUDER COMPANIES,161,74.72,USA,2019,863 Million USD,2019,785 Million USD,"Consumer Defensive, FMCG, Personal Care Products, Beauty and Personal Care, Cosmetics, Consumer Non Durables",62000,2021,Fabrizio Freda,863.0,785.0,Million USD,Million USD
170,THE TJX COMPANIES,162,74.35,USA,2020,717 Million USD,2020,272 Million USD,"Consumer Cyclical, Retail, Clothing, Readymade Clothing, Footwear, Beauty and Personal Care, Home & Furniture, Jewellery, Consumer Services, Apparels and Accessories, Textile, FMCG",320000,2021,Ernie Herrman,717.0,272.0,Million USD,Million USD
171,BIOGEN,163,73.92,USA,2019,378 Million USD,2019,888 Million USD,"Healthcare, Biotechnology, HealthCare Products, Technology, Pharmaceutical",9610,2021,Michel Vounatsos,378.0,888.0,Million USD,Million USD
172,ROBERT BOSCH,163,73.92,Germany,2019,77.7 Billion EUR,2019,2.9 Billion EUR,"Technology, Engineering Products, Technology Hardware and Instruments, Electronics, Automobile Parts, Home Appliances, Security Systems and Solutions, Internet of Things, Cloud Services",400000,2020,Bob van Dijk,77.7,2.9,Billion EUR,Billion EUR
173,AUTOMATIC DATA PROCESSING (ADP),164,73.44,USA,2019,175 Million USD,2019,292 Million USD,"Industries, Software Products, Software and IT, Technology, Outsourcing and Staffing",56000,2021,Carlos A. Rodriguez,175.0,292.0,Million USD,Million USD
174,BECTON DICKINSON AND COMPANY,165,73.44,USA,2019,290 Million USD,2019,233 Million USD,"Healthcare, Medical Equipment, HealthCare Products, Medical Ventilators",75000,2021,Thomas Polen,290.0,233.0,Million USD,Million USD
175,CME GROUP,166,72.37,USA,2019,868 Million USD,2019,116 Million USD,"Financial Services, Securities, Trading, Brokerage Services, Investments, Stock Markets, Trading, Capital Markets",4370,2021,Terrence A. Duffy,868.0,116.0,Million USD,Million USD
176,CONOCOPHILLIPS COMPANY,167,72.09,USA,2019,567 Million USD,2019,189 Million USD,"Energy, Oil and Gas, Natural Gas Generation, Petroleum, Coal Mining, Mining",10100,2021,Ryan Lance,567.0,189.0,Million USD,Million USD
177,BANCO BRADESCO,168,71.94,Brazil,2019,99.28 Billion BRL,2019,21.02 Billion BRL,"Financial Services, Banking Services, Asset Management, Insurance, Private Bank",89575,2021,Octavio de Lazari Junior,99.28,21.02,Billion BRL,Billion BRL
178,MITSUBISHI UFJ FINANCIAL GROUP,169,71.9,Japan,2020,018.9 Billion JPY,2020,528.1 Billion JPY,"Financial Services, Banking Services, Asset Management, Wealth Management, Credit Cards, Investments, Mortgage",132700,2021,Hironori Kamezawa,18.9,528.1,Billion JPY,Billion JPY
179,BANCO SANTANDER,170,71.79,Spain,2019,45.16 Billion EUR,2019,6.51 Billion EUR,"Financial Services, Banking Services, Asset Management, Insurance",191189,2020,Jose Antonio Alvarez,45.16,6.51,Billion EUR,Billion EUR
180,AIR LIQUIDE,171,70.86,France,2019,21.92 Billion EUR,2019,2.24 Billion EUR,"Basic Materials, Chemicals, Gas Supply, Engineering Products, Engineering Services",67000,2019,Benoit Potier,21.92,2.24,Billion EUR,Billion EUR
181,DELOITTE,171,70.86,UK,2020,47.6 Billion USD,2019,2.24 Billion EUR,"Business Services, Professional Services, Consulting Services, Accounting and Auditing",330000,2020,Anders Dons,47.6,2.24,Billion USD,Billion EUR
182,BASF SE,172,70.79,Germany,2019,59.31 Billion EUR,2019,8.42 Billion EUR,"Basic Materials, Chemicals, Fertilizers, Plastics / Plastic Products, Oil and Gas, Natural Gas Generation, Paints and Coatings",110302,2020,Bob van Dijk,59.31,8.42,Billion EUR,Billion EUR
183,WULIANGYE YIBIN,173,70.61,China,2019,50.1 Billion CNY,2019,17.4 Billion CNY,"Consumer Defensive, Alcoholic Beverages, Beverages",26348,2021,Chen Lin,50.1,17.4,Billion CNY,Billion CNY
184,THE PNC FINANCIAL SERVICES GROUP,174,70.23,USA,2019,827 Million USD,2019,369 Million USD,"Financial Services, Banking Services",51918,2019,William S. Demchak,827.0,369.0,Million USD,Million USD
185,VALE SA,174,70.06,Brazil,2019,37.57 Billion BRL,2019,-1.68 Billion BRL,"Basic Materials, Mining, Metals, Iron and Steel, Copper Mining, Coal Mining, Nickel, Precious Metals",74316,2020,Eduardo Bartolomeo,37.57,1.68,Billion BRL,Billion BRL
186,CARGILL,174,70.06,USA,2018,114.7 Billion USD,2019,-1.68 Billion BRL,"Agriculture Products, Agriculture Related, Food Products, Meat / Poultry / Fish / Chicken, Trading",155000,2021,Bob van Dijk,114.7,1.68,Billion USD,Billion BRL
187,CHUBB,175,70.06,Switzerland,2019,34.18 Billion USD,2019,4.45 Billion USD,"Financial Services, Insurance",31000,2020,Evan G. Greenberg,34.18,4.45,Billion USD,Billion USD
188,KDDI CORPORATION,176,69.17,Japan,2020,080.3 Billion JPY,2020,617.6 Billion JPY,"Communication Services, Telecom, Internet Providers, Fixed Line Service, Mobile Services, Fixed Line Service, Television Services",47320,2021,Takashi Tanaka,80.3,617.6,Billion JPY,Billion JPY
189,INTUIT,177,69.11,USA,2020,679 Million USD,2020,826 Million USD,"Technology, Software and IT, Software Products",13500,2021,Sasan K. Goodarzi,679.0,826.0,Million USD,Million USD
190,BANK OF NOVA SCOTIA,178,69.04,Canada,2020,094 Million CAD,2020,853 Million CAD,"Financial Services, Banking Services",89488,2021,Brian J. Porter,94.0,853.0,Million CAD,Million CAD
191,DOMINION ENERGY,179,68.7,USA,2019,572 Million USD,2019,358 Million USD,"Utilities, Electric Utilities, Electricity Generation, Energy, Power Generation, Gas Utilities",17300,2020,Robert M. Blue,572.0,358.0,Million USD,Million USD
192,DUKE ENERGY CORPORATION,180,68.54,USA,2019,079 Million USD,2019,748 Million USD,"Utilities, Electric Utilities, Electricity Generation, Power Generation, Energy",27535,2020,Lynn Good,79.0,748.0,Million USD,Million USD
193,AXA,181,68.46,France,2019,124.94 Billion EUR,2019,3.60 Billion EUR,"Financial Services, Insurance, Asset Management",96595,2021,Thomas Buberl,124.94,3.6,Billion EUR,Billion EUR
194,T-MOBILE US,182,68.37,USA,2020,68.39 Billion USD,2020,3.06 Billion USD,"Communication Services, Telecom, Mobile Services, Internet Providers, Utilities, Telecom Equipment",75000,2020,Mike Sievert,68.39,3.06,Billion USD,Billion USD
195,INTUITIVE SURGICAL,183,68.35,USA,2019,478 Million USD,2019,379 Million USD,"Healthcare, Medical Equipment, HealthCare Products, Robotics",9793,2021,Gary S Guthart,478.0,379.0,Million USD,Million USD
196,EQUINOR ASA,184,67.45,Norway,2019,62.91 Billion EUR,2019,1.84 Billion EUR,"Energy, Oil and Gas, Petrochemicals, Petroleum, Natural Gas Generation, Electricity Generation, Chemicals",21245,2021,Anders Opedal,62.91,1.84,Billion EUR,Billion EUR
197,S&P GLOBAL,185,67.32,USA,2019,699 Million USD,2019,123 Million USD,"Financial Services, Investments, Trading, Stock Markets, Trading, Capital Markets",22850,2021,Douglas L. Peterson,699.0,123.0,Million USD,Million USD
198,BLACKSTONE GROUP,186,66.91,USA,2019,421 Million USD,2019,050 Million USD,"Financial Services, Investments, Asset Management",3165,2020,Stephen A. Schwarzman,421.0,50.0,Million USD,Million USD
199,ESSILOR LUXOTTICA,187,66.78,France,2019,17.39 Billion EUR,2019,1.07 Billion EUR,"Healthcare, Eyewear, Retail, Consumer Goods, Medical Equipment",151017,2021,Francesco Milleri,17.39,1.07,Billion EUR,Billion EUR
200,THE SOUTHERN COMPANY,188,66.7,USA,2019,419 Million USD,2019,754 Million USD,"Utilities, Electricity Generation, Power Generation, Energy, Natural Gas Generation, Electric Utilities, Gas Utilities, Utilities",27700,2020,Thomas A. Fanning,419.0,754.0,Million USD,Million USD
201,PJSC LUKOIL,189,66.23,Russia,2020,639 Billion RUB,2020,15.1 Billion RUB,"Energy, Oil and Gas, Chemicals, Petrochemicals, Oil Refining, Natural Gas Generation",101000,2019,Vagit Alekperov,639.0,15.1,Billion RUB,Billion RUB
202,SAFRAN,190,65.79,France,2019,25.09 Billion EUR,2019,2.44 Billion EUR,"Industries, Aerospace Products, Defense Products, Rockets, Satellites, Drones, Engineering Products, Technology, Machinery Manufacturing, Aerospace and Defense, Manufacturing, Space Products",76800,2021,Olivier Andries,25.09,2.44,Billion EUR,Billion EUR
203,CANADIAN NATIONAL RAILWAY COMPANY,191,65.41,Canada,2020,819 Million CAD,2020,562 Million CAD,"Industries, Transportation, Freight Transport, Rail Transport, Railway",22604,2021,Jean-Jacques Ruest,819.0,562.0,Million CAD,Million CAD
204,TARGET CORPORATION,192,64.86,USA,2020,112 Million USD,2020,281 Million USD,"Consumer Defensive, Retail, eCommerce, Consumer Services",409000,2021,Brian Cornell,112.0,281.0,Million USD,Million USD
205,ADIDAS,193,64.44,Germany,2019,23.64 Billion EUR,2019,1.97 Billion EUR,"Consumer Cyclical, Sports Goods, Footwear, Clothing, Readymade Clothing, Consumer Goods",62285,2021,Kasper Rorsted,23.64,1.97,Billion EUR,Billion EUR
206,PRICEWATERHOUSECOOPERS,193,64.44,UK,2020,43 Billion USD,2019,1.97 Billion EUR,"Professional Services, Consulting Services, Business Services, Accounting and Auditing",295371,2021,Bob van Dijk,43.0,1.97,Billion USD,Billion EUR
207,VINCI,194,64.25,France,2019,48.95 Billion EUR,2019,3.26 Billion EUR,"Industries, Construction, Infrastructure, Construction",217731,2021,Xavier Huillard,48.95,3.26,Billion EUR,Billion EUR
208,VMWARE,195,64.09,USA,2020,811 Million USD,2020,412 Million USD,"Technology, Software and IT, Software Products, Network Hardware and Software, Technology, Software and IT Infrastructure",34000,2021,Rangarajan Raghuram,811.0,412.0,Million USD,Million USD
